customer_id,name,email,address,signup_date,event_type
542a9a00-b6ca-4f86-aca1-0bb461dfdbfd,George Henderson,rachael29@example.org,"63487 Williams Island Suite 712
Janetborough, MD 87764",2022-01-07,INSERT
7f3e2104-9b7a-4d5b-8ad2-0e026647feaf,Robert Gonzalez,cgardner@example.net,"Unit 5830 Box 0724
DPO AE 32791",2022-06-14,DELETE
0627f30d-05e6-4891-9198-7bea6717dc45,Megan Miller,ppierce@example.org,"USS Adams
FPO AP 37966",2022-07-12,UPDATE
b8040c3c-2f5a-48ae-8e29-e6c46a99d784,Nicole Hall,samanthaporter@example.com,"312 Crawford Bypass Apt. 884
Gouldville, UT 32642",2023-12-16,DELETE
8642608e-bfe4-493d-a7ea-f68d905ffca8,Eric Brooks,heather17@example.org,"954 Jones Court Suite 542
Timothyshire, AZ 47803",2020-12-29,DELETE
7a994007-88b8-4ad7-876d-5bee13901a3e,Emily Wilson,sarah04@example.net,"17966 Andrews Island Suite 776
North Maryview, ID 18268",2020-08-31,UPDATE
9aea971d-ad5c-4485-85b4-1169eaeac4e3,Daniel Harris,staylor@example.org,"PSC 4784, Box 2570
APO AP 50755",2021-08-04,INSERT
b50df924-0ecb-4322-977b-3d77d5383a3c,Rebecca Taylor,jhenry@example.org,"40919 Meyer Hill Apt. 319
South Bobfort, CA 76118",2024-05-30,DELETE
a6ed490f-e12d-4723-aded-6367c5da31c2,Kenneth Alvarez,ekeller@example.net,"73643 Smith Grove Suite 691
North Michaelstad, CT 08781",2023-09-18,UPDATE
0dfe3022-fd07-42e8-ae28-1111dc0ba267,Mark Romero,bsutton@example.net,"45896 Katie Avenue Suite 756
South Anna, WV 07091",2020-02-11,DELETE
c508b7ac-f1c7-46f2-ab6e-b16df5dec58e,Shawn Pollard,omason@example.com,"PSC 6008, Box 0572
APO AP 06331",2020-05-29,DELETE
db2a86b7-e7f9-4400-bf87-e2f8263d453b,Megan Schwartz,ecarr@example.com,"248 Fleming Tunnel Apt. 470
West Zacharyton, PR 06067",2021-02-06,UPDATE
750babb7-becb-4668-8b19-b4985df7f606,Tracey Pineda,cindysmith@example.net,"782 Baldwin Villages
East Timothy, PW 69398",2023-04-20,INSERT
32ea20df-8af1-47cf-a105-eef92fabd80e,Christine Mays,michelehansen@example.net,"805 Walker Ports
Lake Rickstad, HI 91828",2023-12-27,DELETE
a3285e62-36dd-4641-b3ea-1dfa7dc72256,Crystal Craig,fosterkelly@example.com,"32156 April Roads Apt. 984
Ryanburgh, PR 87315",2020-07-12,DELETE
16936647-08b3-46e1-95a7-c31d0ca8677f,Francisco Allen,stephaniecarey@example.net,"781 Robinson Forest
Reedborough, PR 57036",2021-09-08,DELETE
30365d27-c157-458f-8d8d-4cc4de9dfb09,John Ibarra,daniel50@example.org,"24257 Jessica Wells Suite 119
North Cindyhaven, IA 71551",2020-08-07,UPDATE
84379aa4-2b97-43c8-b0cd-e5342ca54ec8,Andrea Byrd,paynekurt@example.net,"29373 Melissa Forest Apt. 959
East Michaeltown, MN 98154",2021-08-13,UPDATE
